id,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
54734,0,01-02-1994,0,null,null,10,28854,52.10%,42,29331,21818,25000,01-10-2011,7393,01-08-2012
55742,0,01-10-2000,0,null,null,7,33623,76.70%,7,8216,685,7000,01-06-2011,229,01-08-2012
57245,0,01-01-1985,0,64,null,5,2584,40.40%,31,1458,1458,1200,01-03-2013,43,01-05-2016
57416,0,01-12-1996,1,58,null,14,3511,25.60%,40,13208,13074,10800,01-11-2012,398,01-05-2016
58915,0,01-11-2000,1,null,null,3,33667,73.20%,11,5844,572,5024.99,01-04-2011,163,01-03-2014
59006,1,01-07-1998,0,13,0,13,4740,39.50%,23,3705,3689,3000,01-10-2012,112,01-09-2012
61390,0,01-05-1993,0,null,null,11,50807,51%,19,4452,4341,4000,01-03-2012,1455,01-03-2012
61419,0,01-06-2001,0,38,63,5,3839,76.80%,9,6475,6388,5220.69,01-10-2012,195,01-03-2013
62102,0,01-06-2006,0,null,null,7,3198,51.10%,11,3414,3414,3200,01-02-2011,2593,01-03-2013
65426,0,01-08-1995,0,0,0,14,24220,68.60%,33,2756,2616,2170.35,01-06-2011,132,01-05-2016
65640,0,01-05-1997,1,0,0,20,69909,51.10%,51,3154,513,2649.99,01-05-2011,88,01-04-2015
66431,0,01-09-2001,1,null,null,5,5630,23%,8,3029,2849,2525,01-03-2012,90,01-03-2012
66749,0,01-07-1990,2,57,85,5,13846,71%,16,12976,6108,10625,01-01-2012,371,01-12-2011
66943,0,01-12-2000,0,null,97,7,2183,19.50%,23,3144,3032,2800,01-10-2011,2349,01-07-2014
66964,1,01-08-1996,2,10,null,11,5122,18.20%,37,9129,1013,7500,01-06-2011,254,01-06-2011
67503,0,01-12-1991,0,null,null,7,6068,16.70%,49,11281,11281,10000,01-02-2012,3065,01-02-2014
68163,1,01-02-1998,0,16,null,14,3021,4.80%,25,3342,3342,3000,01-02-2013,98,01-02-2013
68381,0,01-12-2003,0,null,null,3,6282,44.60%,9,7542,7372,6625,01-03-2011,425,01-03-2015
68817,0,01-11-1985,1,45,null,7,5394,53.40%,23,11710,2899,10000,01-09-2010,24,01-09-2010
68926,0,01-12-1997,0,46,0,4,2211,88.40%,13,2797,644,2300,01-09-2011,78,01-05-2016
69001,0,01-11-1991,1,0,0,6,7586,52.70%,19,17136,16993,15000,01-07-2012,1920,01-08-2015
69124,0,01-08-2000,0,null,null,2,8311,59.80%,9,21028,13396,18000,01-04-2011,599,01-05-2016
69168,0,01-02-2005,3,null,null,2,591,84.40%,6,6252,6220,5000,01-04-2011,185,01-05-2016
69251,0,01-12-1994,1,0,0,16,29797,23.20%,39,6784,566,5999.99,01-05-2011,190,01-05-2011
69550,0,01-10-2005,1,null,null,7,7248,69.20%,11,15924,15900,11200,01-08-2014,2817,01-05-2016
69828,0,01-06-1975,0,0,0,4,5656,27.60%,25,17209,15034,15000,01-08-2011,39,01-08-2011
69924,0,01-11-2002,0,0,0,11,21162,57.70%,14,12226,10739,10000,01-04-2011,360,01-02-2016
69990,0,01-09-1994,1,null,null,8,16931,34.60%,21,17439,16201,15500,01-02-2013,473,01-02-2013
70348,0,01-11-1997,0,68,63,5,4822,58.10%,27,11341,10948,9600,01-05-2010,3774,01-05-2016
76597,2,01-04-2003,0,5,null,5,14354,36.60%,7,5726,2033,5000,01-07-2010,161,01-07-2010
84918,0,01-12-1994,1,null,null,12,1576,5.70%,21,5201,2107,5000,01-04-2008,4269,01-06-2007
87023,1,01-10-2003,0,11,0,7,4175,51.50%,8,9196,981,7500,01-06-2010,257,01-06-2010
88854,0,01-03-1995,0,0,0,2,3164,13.70%,2,5175,233,5000,01-03-2008,0,01-05-2007
90376,0,01-11-1988,0,0,0,17,85607,0.70%,26,5175,673,5000,01-01-2008,0,01-06-2007
90395,0,01-10-1998,0,0,0,11,9698,19.40%,20,5273,1398,5000,01-04-2008,0,01-06-2007
90665,1,01-12-1986,1,5,0,6,8847,26.90%,9,9914,1021,8500,01-07-2010,282,01-07-2010
90966,0,01-12-1987,0,0,0,2,6053,19.50%,19,5175,4295,5000,01-01-2008,4398,01-06-2007
92187,0,01-11-1990,0,0,0,13,7274,13.10%,40,2823,1214,2500,01-07-2010,81,01-06-2010
